YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,17.82,1.580494067,8.9
01-02-1961 00:00,18.56,1.580494067,84.3
01-03-1961 00:00,26.43,1.580494067,1
01-04-1961 00:00,30.48,1.580494067,4.6
01-05-1961 00:00,32.59,1.580494067,30
01-06-1961 00:00,29.86,1.580494067,298.6
01-07-1961 00:00,27.94,1.580494067,296.3
01-08-1961 00:00,27.92,1.580494067,358.2
01-09-1961 00:00,27.35,1.580494067,317.2
01-10-1961 00:00,25.15,1.580494067,155.3
01-11-1961 00:00,20.2,1.580494067,1.6
01-12-1961 00:00,15.2,1.580494067,4.6
01-01-1962 00:00,15.67,1.738850141,8.2
01-02-1962 00:00,20,1.738850141,15
01-03-1962 00:00,24.92,1.738850141,4.3
01-04-1962 00:00,29.69,1.738850141,31.1
01-05-1962 00:00,31.68,1.738850141,26.5
01-06-1962 00:00,30.46,1.738850141,167.4
01-07-1962 00:00,28.79,1.738850141,251.5
01-08-1962 00:00,27.61,1.738850141,265.5
01-09-1962 00:00,27.49,1.738850141,213.5
01-10-1962 00:00,24.59,1.738850141,55.8
01-11-1962 00:00,20.97,1.738850141,0
01-12-1962 00:00,17.67,1.738850141,8.9
01-01-1963 00:00,16.01,1.867517229,2.8
01-02-1963 00:00,21.16,1.867517229,7.8
01-03-1963 00:00,25.17,1.867517229,9.9
01-04-1963 00:00,29.1,1.867517229,23.3
01-05-1963 00:00,30.5,1.867517229,67.7
01-06-1963 00:00,30.07,1.867517229,171.5
01-07-1963 00:00,28.02,1.867517229,301.6
01-08-1963 00:00,27.97,1.867517229,249
01-09-1963 00:00,27.66,1.867517229,241.3
01-10-1963 00:00,25.78,1.867517229,228.6
01-11-1963 00:00,22.13,1.867517229,11.2
01-12-1963 00:00,18.1,1.867517229,0.2
01-01-1964 00:00,17.36,1.825872648,2.2
01-02-1964 00:00,20.32,1.825872648,12.2
01-03-1964 00:00,26.6,1.825872648,4.7
01-04-1964 00:00,30.12,1.825872648,18.9
01-05-1964 00:00,31,1.825872648,53.8
01-06-1964 00:00,30.94,1.825872648,200.4
01-07-1964 00:00,27.16,1.825872648,306.4
01-08-1964 00:00,27.69,1.825872648,262
01-09-1964 00:00,27.57,1.825872648,214.4
01-10-1964 00:00,26,1.825872648,71.5
01-11-1964 00:00,21.17,1.825872648,3.9
01-12-1964 00:00,17.91,1.825872648,0
01-01-1965 00:00,17.84,2.01160659,0.8
01-02-1965 00:00,20.27,2.01160659,8.7
01-03-1965 00:00,24.16,2.01160659,26.6
01-04-1965 00:00,28.79,2.01160659,31.3
01-05-1965 00:00,31.85,2.01160659,14.8
01-06-1965 00:00,31.86,2.01160659,113.1
01-07-1965 00:00,27.96,2.01160659,354.6
01-08-1965 00:00,27.64,2.01160659,215.9
01-09-1965 00:00,27.34,2.01160659,206.2
01-10-1965 00:00,25.64,2.01160659,39.2
