YEAR,TEMPERATURE,CO2,RAINFALL
01-01-1961 00:00,-8.5,0.122746275,20.5
01-02-1961 00:00,-8.3,0.122746275,97
01-03-1961 00:00,-1.22,0.122746275,51
01-04-1961 00:00,3.03,0.122746275,117.5
01-05-1961 00:00,8.47,0.122746275,34
01-06-1961 00:00,12.95,0.122746275,41.1
01-07-1961 00:00,13.86,0.122746275,132.7
01-08-1961 00:00,12.86,0.122746275,137.1
01-09-1961 00:00,10.82,0.122746275,171.3
01-10-1961 00:00,4.06,0.122746275,11.9
01-11-1961 00:00,-3.24,0.122746275,52.7
01-12-1961 00:00,-8.53,0.122746275,63.5
01-01-1962 00:00,-9.26,0.135044719,0
01-02-1962 00:00,-5.28,0.135044719,36.4
01-03-1962 00:00,-1.16,0.135044719,251.8
01-04-1962 00:00,4.04,0.135044719,188.9
01-05-1962 00:00,8.19,0.135044719,82.4
01-06-1962 00:00,12.39,0.135044719,24.8
01-07-1962 00:00,13.72,0.135044719,68.4
01-08-1962 00:00,12.65,0.135044719,67
01-09-1962 00:00,9.13,0.135044719,32.9
01-10-1962 00:00,3.5,0.135044719,12.8
01-11-1962 00:00,-2.72,0.135044719,83.5
01-12-1962 00:00,-8.18,0.135044719,60.2
01-01-1963 00:00,-8.92,0.145037421,126.2
01-02-1963 00:00,-4.62,0.145037421,60.7
01-03-1963 00:00,-2,0.145037421,96
01-04-1963 00:00,3.35,0.145037421,134.6
01-05-1963 00:00,7.43,0.145037421,41.3
01-06-1963 00:00,13.21,0.145037421,92.7
01-07-1963 00:00,13.96,0.145037421,167.4
01-08-1963 00:00,12.47,0.145037421,99.4
01-09-1963 00:00,9.63,0.145037421,64
01-10-1963 00:00,4.8,0.145037421,1.3
01-11-1963 00:00,-1.58,0.145037421,4.6
01-12-1963 00:00,-6.9,0.145037421,58
01-01-1964 00:00,-10.8,0.141803168,62.2
01-02-1964 00:00,-7.7,0.141803168,138.1
01-03-1964 00:00,0.42,0.141803168,99.9
01-04-1964 00:00,4.16,0.141803168,179.8
01-05-1964 00:00,6.39,0.141803168,153.4
01-06-1964 00:00,11.52,0.141803168,32.4
01-07-1964 00:00,12.36,0.141803168,83.9
01-08-1964 00:00,13.16,0.141803168,62
01-09-1964 00:00,9.62,0.141803168,16.4
01-10-1964 00:00,4.57,0.141803168,26.2
01-11-1964 00:00,-2.14,0.141803168,33
01-12-1964 00:00,-6.98,0.141803168,25.2
01-01-1965 00:00,-6.8,0.156227866,1.5
01-02-1965 00:00,-6.99,0.156227866,199.3
01-03-1965 00:00,-1.96,0.156227866,155.2
01-04-1965 00:00,2.04,0.156227866,148.5
01-05-1965 00:00,6.22,0.156227866,114
01-06-1965 00:00,12.06,0.156227866,59.9
01-07-1965 00:00,12.91,0.156227866,169.7
01-08-1965 00:00,11.94,0.156227866,203.9
01-09-1965 00:00,9.59,0.156227866,217.4
01-10-1965 00:00,4.57,0.156227866,83.6
01-11-1965 00:00,-0.5,0.156227866,3.5
01-12-1965 00:00,-7.12,0.156227866,22.4
01-01-1966 00:00,-7.55,0.161681568,17.5
